Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2003 Population,Moody's_Bond_Ratings_July_2003,area lmt,ACGLFY03,EGL,TANF03 Recipients,empl,ACMR,enrollmt
"WESTON","BP",2.0030000000000000e+03,1.5800000000000000e+02,1.5700000000000000e+02,"F",1935913.0000,41065442.0000,44522272.0000,32011725.0000,2091406.0000,42492794.0000,319697.0000,10089697.0000,1811156.0000,11749063.0000,538019.0000,429337.0000,370112.0000,0.0000,,27888744.0000,27888744.0000,427233.0000,0.0000,4268763.0000,3841530.0000,262997.0000,,40889080.0000,40467809.0000,9.8969722478471023e-01,41580407.0000,40908394.0000,9.8383822938529675e-01,1.0239000000000000e+04,"Aaa",1.9800000000000001e+01,1753030219.0000,3074223817.2088,9.0000000000000000e+00,3.3242734685343923e-02,2.3300000000000001e+01,2.4343699999999999e+03
"WESTPORT","JG",2.0030000000000000e+03,1.5900000000000000e+02,1.5800000000000000e+02,"F",1389107.0000,102751594.0000,118990287.0000,66173066.0000,12843806.0000,119574313.0000,613714.0000,49705449.0000,1993502.0000,50850910.0000,-1963814.0000,-3535986.0000,-1729487.0000,0.0000,,152710000.0000,152710000.0000,478131.0000,2882469.0000,13619859.0000,13141728.0000,,4024049.0000,103068764.0000,101369885.0000,9.8351703334678586e-01,106814850.0000,102269953.0000,9.5745070090909645e-01,2.6320000000000000e+04,"Aaa",2.0010000000000002e+01,5633342495.0000,10371534143.7617,3.4000000000000000e+01,3.5793267261856006e-02,1.8300000000000001e+01,5.1087100000000000e+03
"WETHERSFIELD","JG",2.0030000000000000e+03,1.6000000000000000e+02,1.5900000000000000e+02,"H",7003541.0000,49641656.0000,57917139.0000,34151826.0000,2393549.0000,55679570.0000,40000.0000,5666100.0000,1908745.0000,7501845.0000,368824.0000,183647.0000,401824.0000,0.0000,,27698648.0000,27698648.0000,166911.0000,950000.0000,4752057.0000,4585146.0000,,353360.0000,49340093.0000,48751416.0000,9.8806899289792582e-01,50238198.0000,49210239.0000,9.7953829872639941e-01,2.6398000000000000e+04,"Aa3",1.2390000000000001e+01,1452892840.0000,2599590017.6446,9.7000000000000000e+01,4.9647563591786702e-02,3.3799999999999997e+01,3.6715100000000002e+03
"WILLINGTON","JG",2.0030000000000000e+03,1.6100000000000000e+02,1.6000000000000000e+02,"T",3860672.0000,8037817.0000,12214588.0000,9132610.0000,467449.0000,11878187.0000,0.0000,0.0000,453926.0000,453926.0000,-117525.0000,185628.0000,-117525.0000,-100984.0000,5774336.8235,2096091.0000,7870427.8235,67887.0000,320000.0000,1157867.0000,1089980.0000,,,8009889.0000,7962133.0000,9.9403786993802290e-01,8063935.0000,7995212.0000,9.9147773388550375e-01,6.1980000000000000e+03,"A2",3.3270000000000003e+01,290692347.0000,495760017.4347,2.0000000000000000e+01,4.0425531914893620e-02,2.7250000000000000e+01,8.9449000000000001e+02
"WILTON","BP",2.0030000000000000e+03,1.6200000000000000e+02,1.6100000000000000e+02,"F",5640748.0000,65652754.0000,74437634.0000,46051943.0000,10124210.0000,75754798.0000,188963.0000,188963.0000,0.0000,0.0000,-1128201.0000,-253560.0000,-1128201.0000,0.0000,,73830848.0000,73830848.0000,806350.0000,868182.0000,4181263.0000,3374913.0000,9947452.0000,664071.0000,64269768.0000,63719586.0000,9.9143948987026065e-01,65166359.0000,64154808.0000,9.8447740497516523e-01,1.7909000000000000e+04,"Aaa",2.6949999999999999e+01,2185270580.0000,5237287613.5151,2.0000000000000000e+00,3.6649858565982046e-02,2.9940000000000001e+01,4.0943800000000001e+03
"WINCHESTER","JG",2.0030000000000000e+03,1.6300000000000000e+02,1.6200000000000000e+02,"L",9223679.0000,16113787.0000,25916461.0000,17052061.0000,703658.0000,27681797.0000,3188.0000,436192.0000,106896.0000,106896.0000,-1869044.0000,481422.0000,-1436040.0000,0.0000,,2833147.0000,2833147.0000,200426.0000,99420.0000,806641.0000,606215.0000,27524422.0000,,15977098.0000,15349877.0000,9.6074249528919453e-01,16778079.0000,15806317.0000,9.4208145044495262e-01,1.0781000000000000e+04,"A1",3.2280000000000001e+01,443175289.0000,755315793.1546,1.7500000000000000e+02,7.0774354704412984e-02,3.5579999999999998e+01,1.6116700000000001e+03
"WINDHAM","JG",2.0030000000000000e+03,1.6400000000000000e+02,1.6300000000000000e+02,"W",28896080.0000,19950742.0000,52060626.0000,33991240.0000,3993043.0000,52328348.0000,0.0000,0.0000,172585.0000,172585.0000,-440307.0000,3587130.0000,-440307.0000,0.0000,,27798379.0000,27798379.0000,801664.0000,3996282.0000,10014142.0000,9212478.0000,,,19648074.0000,19043106.0000,9.6920980651844046e-01,21020954.0000,19682929.0000,9.3634803634506791e-01,2.3014000000000000e+04,"A2",2.7070000000000000e+01,629646371.0000,922960130.0000,7.1000000000000000e+02,6.7191229776323927e-02,2.4750000000000000e+01,3.5495100000000002e+03
"WINDSOR","JG",2.0030000000000000e+03,1.6500000000000000e+02,1.6400000000000000e+02,"H",13835715.0000,58684319.0000,75416324.0000,47770517.0000,4591532.0000,67495535.0000,0.0000,0.0000,8307662.0000,8307662.0000,-386873.0000,828449.0000,-386873.0000,0.0000,,44925000.0000,44925000.0000,390848.0000,0.0000,6883325.0000,6492477.0000,-21037549.0000,2797945.0000,58464014.0000,57588217.0000,9.8501989617065977e-01,59434770.0000,58164946.0000,9.7863499766214290e-01,2.8565000000000000e+04,"Aa2",2.9629999999999999e+01,1768511335.0000,3108204837.0440,2.3200000000000000e+02,5.5933290570878771e-02,3.2600000000000001e+01,4.6975100000000002e+03
"WINDSOR LOCKS","BP",2.0030000000000000e+03,1.6600000000000000e+02,1.6500000000000000e+02,"H",10030857.0000,21131751.0000,32065180.0000,19646557.0000,2327472.0000,30218520.0000,743204.0000,743204.0000,2266697.0000,2266697.0000,323167.0000,606962.0000,323167.0000,0.0000,,20506930.0000,20506930.0000,0.0000,1029920.0000,6107274.0000,6107274.0000,,-43611.0000,20871359.0000,20523693.0000,9.8334243591900272e-01,21754859.0000,20676414.0000,9.5042739647266850e-01,1.2256000000000000e+04,"Aa2",9.0299999999999994e+00,898938694.0000,1578789720.7595,6.8000000000000000e+01,5.5824886146613781e-02,2.2210000000000001e+01,2.0510799999999999e+03
"WOLCOTT","JG",2.0030000000000000e+03,1.6700000000000000e+02,1.6600000000000000e+02,"NH",14362446.0000,25036690.0000,40937384.0000,25797261.0000,4278197.0000,40563587.0000,512178.0000,512178.0000,40000.0000,40000.0000,845975.0000,-686831.0000,845975.0000,0.0000,,41044138.0000,41044138.0000,151451.0000,200000.0000,1865587.0000,1714136.0000,,751501.0000,24747543.0000,23981724.0000,9.6905474616207354e-01,26563016.0000,24657075.0000,9.2824832089850040e-01,1.6024000000000000e+04,"A3",2.0430000000000000e+01,832359285.0000,1202019857.1429,5.6000000000000000e+01,5.3347041352524563e-02,2.9600000000000001e+01,3.1926700000000001e+03
"WOODBRIDGE","BP",2.0030000000000000e+03,1.6800000000000000e+02,1.6700000000000000e+02,"NH",1213659.0000,29117294.0000,32513418.0000,17933177.0000,2149780.0000,32070931.0000,128786.0000,685002.0000,447632.0000,447632.0000,123641.0000,384892.0000,679857.0000,0.0000,6676021.0022,21344486.0000,28020507.0022,753104.0000,0.0000,4238360.0000,3485256.0000,,,28661695.0000,28486993.0000,9.9390468707450830e-01,28881090.0000,28647913.0000,9.9192630887546140e-01,9.2490000000000000e+03,"Aa1",1.8830000000000002e+01,859108640.0000,1411224046.8072,1.4000000000000000e+01,3.4301346801346805e-02,3.3340000000000003e+01,1.7602800000000000e+03
"WOODBURY","JG",2.0030000000000000e+03,1.6900000000000000e+02,1.6800000000000000e+02,"L",1234098.0000,19126332.0000,21114720.0000,14162591.0000,23712.0000,20446117.0000,0.0000,0.0000,238900.0000,238900.0000,429703.0000,537156.0000,429703.0000,0.0000,8812407.1380,505000.0000,9317407.1380,176133.0000,785559.0000,2725923.0000,2549790.0000,,-25076.0000,18641355.0000,18331248.0000,9.8336456765079572e-01,19382431.0000,18780538.0000,9.6894646497129278e-01,9.5570000000000000e+03,,3.6469999999999999e+01,696165662.0000,1399220889.7428,5.0000000000000000e+00,4.0104458123484427e-02,2.6530000000000001e+01,1.5287900000000000e+03
"WOODSTOCK","JG",2.0030000000000000e+03,1.7000000000000000e+02,1.6900000000000000e+02,"W",5640882.0000,9643173.0000,15760625.0000,11939482.0000,1167419.0000,16089771.0000,102.0000,102.0000,117000.0000,117000.0000,-446044.0000,-115059.0000,-446044.0000,0.0000,,10236654.0000,10236654.0000,37445.0000,330686.0000,2522124.0000,2484679.0000,,-101321.0000,9362597.0000,9185568.0000,9.8109189149121767e-01,9834408.0000,9429904.0000,9.5886849518547534e-01,7.6850000000000000e+03,"A2",6.0539999999999999e+01,401109124.0000,673071796.6388,1.3000000000000000e+01,4.8315911730545877e-02,2.3050000000000001e+01,1.4208800000000001e+03
